product id*;product index;attribute (name:type:position)*;value (value:position)*;supplier reference;reference;ean13;upc;MPN;wholesale price;impact on price;ecotax;quantity;minimal quantity;low stock level;send me an email when the quantity is under this level;impact on weight;default (0 = no, 1 = yes);combination available date;image position;image urls (x,y,z...);image alt texts (x,y,z...);id / name of shop;advanced stock managment;depends on stock;warehouse
166;;Kolor:color:0;Zielony:0;;;;;;;;;0;;;;;;;;file:///images/18269-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18262-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18263-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18264-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18265-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg;;;;;
181;;Kolor:color:0;czarny:0;;;;;;;;;311;;;;;;;;file:///images/18595-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18417-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg;;;;;
181;;Kolor:color:0;Szary:0;;;;;;;;;0;;;;;;;;file:///images/18544-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18417-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18416-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18412-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18413-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg;;;;;
181;;Kolor:color:0;Czerwony:0;;;;;;;;;0;;;;;;;;file:///images/18543-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18417-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18416-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18411-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18412-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18414-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg;;;;;
181;;Kolor:color:0;Niebieski:0;;;;;;;;;0;;;;;;;;file:///images/18542-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18417-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18416-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18411-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18412-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg,file:///images/18415-large_default-kostka-antystresowa-odstresowujaca-fidget-cube.jpg;;;;;
187;;Kolor:color:0;róż:0;;;;;;;;;0;;;;;;;;file:///images/27289-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27288-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27290-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27287-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg;;;;;
187;;Kolor:color:0;Zielony:0;;;;;;;;;0;;;;;;;;file:///images/27281-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27280-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27282-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27279-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg;;;;;
187;;Kolor:color:0;Fioletowy:0;;;;;;;;;0;;;;;;;;file:///images/27285-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27284-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27286-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg,file:///images/27283-large_default-super-slime-masa-sensoryczna-galaxy-diy.jpg;;;;;
198;;Kolor:color:0;Niebieski:0;;;;;;;;;45;;;;;;;;file:///images/8446-large_default-slime-unicorn-poop.jpg,file:///images/8445-large_default-slime-unicorn-poop.jpg,file:///images/8447-large_default-slime-unicorn-poop.jpg,file:///images/8448-large_default-slime-unicorn-poop.jpg;;;;;
201;;Kolor:color:0;Pomarańczowy:0;;;;;;;;;22;;;;;;;;file:///images/25771-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25768-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25769-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25770-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25772-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25773-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25774-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25775-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25776-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg;;;;;
201;;Kolor:color:0;Żółty:0;;;;;;;;;30;;;;;;;;file:///images/25765-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20593-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20578-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25761-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25762-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25763-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25764-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25766-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25767-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25777-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25778-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/25779-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg;;;;;
201;;Kolor:color:0;jasny róż:0;;;;;;;;;30;;;;;;;;file:///images/20618-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20577-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20579-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20580-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20584-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20585-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20586-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20594-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg;;;;;
201;;Kolor:color:0;zielony limonka:0;;;;;;;;;27;;;;;;;;file:///images/20596-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20577-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20576-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20592-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg,file:///images/20595-large_default-piornik-szkolny-holo-z-duzym-suwakiem.jpg;;;;;
203;;Kolor:color:0;Żółty:0;;;;;;;;;30;;;;;;;;file:///images/20699-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20689-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20690-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20691-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20696-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg;;;;;
203;;Kolor:color:0;Niebieski:0;;;;;;;;;30;;;;;;;;file:///images/20698-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20684-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20685-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20686-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20687-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20688-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20696-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg;;;;;
203;;Kolor:color:0;jasny róż:0;;;;;;;;;30;;;;;;;;file:///images/20700-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20692-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20693-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20694-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20695-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20696-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg;;;;;
203;;Kolor:color:0;fuksja:0;;;;;;;;;30;;;;;;;;file:///images/20697-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20679-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20680-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20681-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20682-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20683-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg,file:///images/20696-large_default-piornik-szkolny-z-duzym-suwakiem-jednorozec-holo.jpg;;;;;
204;;Kolor:color:0;wielokolorowy:0;;;;;;;;;100;;;;;;;;file:///images/20523-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20524-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20525-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20526-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20528-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20529-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20530-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20531-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20532-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20533-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20718-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20715-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20716-large_default-piornik-z-duzym-suwakiem-teczowy.jpg,file:///images/20717-large_default-piornik-z-duzym-suwakiem-teczowy.jpg;;;;;
